projectName,bugN,SampleN,bugID
Chart,26,13,3、6、7、9、10、11、12、18、21、23、24、25、26
Cli,39,19,1、2、5、8、10、14、15、16、22、23、27、30、31、32、34、36、37、38、39
Closure,174,87,11 96 159 84 107 157 129 25 16 137 85 110 14 90 86 71 19 141 172 114 126 116 59 117 1 88 173 125 77 75 163 139 55 133 166 38 97 103 115 3 100 32 98 119 171 152 48 26 148 144 158 7 76 39 54 22 156 4 112 142 45 52 17 57 67 153 164 65 162 64 2 12 78 42 40 169 161 127 50 74 106 87 167 80 30 105 58
Codec,18,9,1、2、5、6、8、12、16、17、18
Collections,4,2,25、28
Compress,47,23,1、2、4、13、17、21、23、25、26、27、29、30、31、32、35、36、38、40、41、42、43、45、47  
Csv,16,8,2、3、4、5、9、10、11、15
Gson,18,9,3、4、7、12、13、14、15、16、17   
JacksonCore,26,13,1、4、5、9、10、11、13、16、17、18、21、23、24   
JacksonDatabind,112,56,4、5、6、11、16、20、21、22、23、30、32、33、35、36、37、38、39、40、41、44、46、49、50、55、57、59、60、61、62、64、65、67、68、70、74、75、77、79、80、81、82、84、85、88、90、91、92、93、97、98、101、102、103、105、106、107
JacksonXml,6,3,4、5、6
Jsoup,93,46,1、2、3、4、6、9、10、11、12、14、15、17、19、21、23、24、28、33、35、42、43、45、46、47、48、51、55、57、58、60、64、65、66、67、69、70、71、74、75、78、81、83、85、87、88、90 
JxPath,22,11,2、4、7、10、12、13、14、16、17、21、22
Lang,64,32,1、3、4、5、7、11、15、16、18、19、20、29、30、32、36、38、39、43、44、45、49、50、51、52、53、55、57、58、60、61、62、64 
Math,106,53,1、3、4、5、8、9、10、11、13、16、17、18、19、21、22、23、25、26、27、31、32、33、36、37、38、41、45、46、47、48、54、55、58、59、60、61、66、68、69、72、74、79、81、86、90、92、95、97、99、103、104、105、106
Mockito,38,19,2、4、10、11、13、15、18、20、21、23、24、26、28、29、32、33、34、37、38
Time,26,13,1、3、8、9、12、14、15、17、18、20、22、24、25
sum,835,416,
